小区,行政区,觅渡桥小学,二十四中,局前街小学,实验小学,解放路小学,博爱小学,
宝龙广场,钟楼,0,0,0,0,0,0,
世茂香槟湖,新北,0,0,0,0,0,0,
南湖家苑,武进,0,0,0,0,0,0,
绿地世纪城,钟楼,0,0,0,0,0,0,
中央花园,新北,0,0,0,0,0,0,
星河国际,武进,0,0,0,0,0,0,
翠竹新村,天宁,0,0,0,0,0,0,
丽华一村,天宁,0,0,0,0,0,0,
凤凰名城,新北,0,0,0,0,0,0,
高成天鹅湖,天宁,0,0,0,0,0,0,
金色新城,钟楼,0,0,0,0,0,0,
华润国际社区,天宁,0,0,0,0,0,0,
公园壹号花园,戚墅堰,0,0,0,0,0,0,
典雅花园,新北,0,0,0,0,0,0,
银河湾第一城,新北,0,0,0,0,0,0,
九洲花园,新北,0,0,0,0,0,0,
南河花园小区,武进,0,0,0,0,0,0,
怡康花园,天宁,0,0,0,0,0,1,
天山花园,钟楼,0,0,0,0,0,0,
滨江明珠城,新北,0,0,0,0,0,0,
百草苑,新北,0,0,0,0,0,0,
水晶城,天宁,0,0,0,0,0,0,
彩虹城,天宁,0,0,0,0,0,1,
怀德苑,钟楼,0,0,0,0,0,0,
学府东苑,武进,0,0,0,0,0,0,
紫禁城小区,武进,0,0,0,0,0,0,
凯旋城,天宁,0,0,0,0,0,0,
玉龙湾花园,新北,0,0,0,0,0,0,
天隽峰,武进,0,0,0,0,0,0,
阳湖名城,武进,0,0,0,0,0,0,
香江华廷花园,钟楼,0,0,0,0,0,0,
藻江花园,新北,0,0,0,0,0,0,
百馨西苑,新北,0,0,0,0,0,0,
中意宝第,钟楼,0,0,0,0,0,0,
陈渡新苑,钟楼,0,0,0,0,0,0,
前桥小区,新北,0,0,0,0,0,0,
丽华二村,天宁,0,0,0,0,0,0,
常信怀德名园,新北,0,0,0,0,0,0,
清潭新村,钟楼,0,0,0,0,0,0,
中天名园,武进,0,0,0,0,0,0,
天安花园,天宁,0,0,0,0,0,0,
世纪华城,天宁,0,0,0,0,0,0,
香缇湾花园,新北,0,0,0,0,0,0,
新城长岛,武进,0,0,0,0,0,0,
采菱公寓,天宁,0,0,0,0,0,0,
盛世名门,天宁,0,0,0,0,0,1,
锦海星城,新北,0,0,0,0,0,0,
府西花园,新北,0,0,0,0,0,0,
和平国际,天宁,0,0,0,0,0,0,
新城南都雅苑,武进,0,0,0,0,0,0,
方圆云山诗意,钟楼,0,0,0,0,0,0,
腾龙苑,新北,0,0,0,0,0,0,
青山湾小区,天宁,0,0,0,0,0,0,
天润园小区,新北,0,0,0,0,0,0,
京城豪苑,钟楼,0,0,1,0,0,0,
邹新花园,武进,0,0,0,0,0,0,
北环新村,天宁,0,0,0,0,0,0,
香江壹品,武进,0,0,0,0,0,0,
蓝天花园,钟楼,0,0,0,0,0,0,
勤德家园,钟楼,0,0,0,0,0,0,
机械新村,钟楼,0,0,0,0,0,0,
玲珑花园,新北,0,0,0,0,0,0,
浦南新村,天宁,0,0,0,0,0,0,
河景花园,钟楼,0,0,0,0,0,0,
喜盈门花苑,武进,0,0,0,0,0,0,
梧桐苑,钟楼,0,0,0,0,0,0,
荣哼逸都小区,钟楼,0,0,0,0,0,0,
紫云苑,天宁,0,0,0,0,0,0,
河苑家园,武进,0,0,0,0,0,0,
星鑫家园,钟楼,0,0,0,0,0,0,
清凉新村,天宁,0,0,0,0,0,0,
南博湾花园,新北,0,0,0,0,0,0,
太湖明珠苑,新北,0,0,0,0,0,0,
星港花苑,钟楼,0,0,0,0,0,0,
景秀世家,新北,0,0,0,0,0,1,
长江花苑,新北,0,0,0,0,0,0,
桂花园,钟楼,0,0,0,0,0,0,
新闸花苑,钟楼,0,0,0,0,0,0,
凯尔枫尚花园,钟楼,0,0,0,0,0,0,
清水湾,新北,0,0,0,0,0,0,
红梅新村,天宁,0,0,0,0,0,0,
水木年华花园,新北,0,0,0,0,0,0,
花园新村,钟楼,0,0,0,0,0,0,
荆川里小区,钟楼,0,0,0,0,0,0,
金梅花园,钟楼,0,0,0,0,0,0,
新天地花苑,天宁,0,0,0,0,0,1,
白云新村,钟楼,0,0,0,0,0,0,
璞丽湾花园,钟楼,0,0,0,0,0,0,
采菱家园,武进,0,0,0,0,0,0,
绿洲家园,新北,0,0,0,0,0,0,
圣·巴塞耶怡美花园,钟楼,0,0,0,0,0,0,
新龙花苑,新北,0,0,0,0,0,0,
青竹苑,天宁,0,0,0,0,0,0,
名仕佳园,武进,0,0,0,0,0,0,
南甸苑,武进,0,0,0,0,0,0,
勤业四村,钟楼,0,0,0,0,0,0,
润德半岛,天宁,0,0,0,0,0,0,
万水美兰城,钟楼,0,0,0,0,0,0,
聚博花园,天宁,0,0,0,0,0,0,
南苑小区,武进,0,0,0,0,0,0,
锦阳花苑,钟楼,0,0,0,0,0,0,
高成莱茵花苑,钟楼,0,0,0,0,0,0,
朗诗国际街区,钟楼,0,0,0,0,0,0,
新魏花园小区,新北,0,0,0,0,0,0,
新城尚东区花园,天宁,0,0,0,0,0,0,
西新桥三村,钟楼,0,0,0,0,0,0,
绿园,钟楼,0,0,0,0,0,0,
南隆家园,武进,0,0,0,0,0,0,
枫逸人家,钟楼,0,0,0,0,0,0,
青洋花苑,戚墅堰,0,0,0,0,0,0,
祥龙苑,新北,0,0,0,0,0,0,
御源林城,钟楼,0,0,0,0,0,0,
蔷薇家园,天宁,0,0,0,0,0,0,
佳兆业凤凰湖壹号,新北,0,0,0,0,0,0,
青枫公馆,钟楼,0,0,0,0,0,0,
长虹花苑,武进,0,0,0,0,0,0,
金谷花园,钟楼,0,0,0,0,0,0,
兆丰花苑,天宁,0,0,0,0,0,0,
丰乐公寓,武进,0,0,0,0,0,0,
阳湖世纪苑,武进,0,0,0,0,0,0,
湖滨花苑小区,武进,0,0,0,0,0,0,
盛世华城,溧阳,0,0,0,0,0,0,
锦湖公寓,武进,0,0,0,0,0,0,
府琛花园,新北,0,0,0,0,0,0,
富都小区,新北,0,0,0,0,0,0,
中凉新村,天宁,0,0,0,0,0,0,
兰陵尚品花园,天宁,0,0,0,0,0,0,
都市桃源,钟楼,0,0,0,0,0,0,
嘉顺花园,新北,0,0,0,0,0,0,
鹏欣丽都,钟楼,1,0,0,0,0,0,
锦绣东苑,天宁,0,0,0,0,0,0,
兰翔新村,新北,0,0,0,0,0,0,
府琛商务广场,新北,0,0,0,0,0,0,
金鸡花园,武进,0,0,0,0,0,0,
永宁花园,天宁,0,0,0,0,0,0,
常发豪庭国际,新北,0,0,0,0,0,0,
长安家园,武进,0,0,0,0,0,0,
香树湾·福园,新北,0,0,0,0,0,0,
九龙仓国宾1号,新北,0,0,0,0,0,0,
新城首府,钟楼,0,0,0,0,0,0,
金玉苑,钟楼,0,0,0,0,0,0,
沈家花苑,武进,0,0,0,0,0,0,
蓝色港湾花园,新北,0,0,0,0,0,0,
文渊居,武进,0,0,0,0,0,0,
运河花园,钟楼,0,0,0,0,0,0,
金百花园,钟楼,0,0,0,0,0,0,
九洲新家园,天宁,0,0,0,0,0,0,
枫林雅都,钟楼,0,0,0,0,0,0,
朝阳三村,天宁,0,0,0,0,0,0,
嘉宏盛世,天宁,1,0,0,0,0,0,
泰山一村,新北,0,0,0,0,0,0,
府北新村,武进,0,0,0,0,0,0,
清潭六村,钟楼,0,0,0,0,0,0,
富强新村,天宁,0,0,0,0,0,0,
西城格兰艺堡,钟楼,0,0,0,0,0,0,
红梅东村小区,天宁,0,0,0,0,0,0,
浦北新村,天宁,0,0,0,0,0,0,
上书房,钟楼,0,0,0,0,0,0,
东方福郡,戚墅堰,0,0,0,0,0,0,
空港二村,新北,0,0,0,0,0,0,
西湖家园,武进,0,0,0,0,0,0,
橄榄城,新北,0,0,0,0,0,0,
龚家名园,武进,0,0,0,0,0,0,
府河名居,天宁,0,0,0,0,0,0,
吟枫苑,新北,0,0,0,0,0,0,
红梅西村,天宁,0,0,0,0,0,0,
湾里新村,武进,0,0,0,0,0,0,
香梅花园,天宁,0,0,0,0,0,0,
白云东苑,钟楼,0,0,0,0,0,0,
花之园,钟楼,0,0,0,0,0,0,
瑞丰花苑,武进,0,0,0,0,0,0,
荷花池小区,钟楼,1,0,0,0,0,0,
聚缘雅居,天宁,0,0,0,0,0,0,
摩尔上品,武进,0,0,0,0,0,0,
金水湾小区,金坛,0,0,0,0,0,0,
阳光花园,新北,0,0,0,0,0,0,
银河湾星苑,天宁,0,0,0,0,0,0,
国泰名都,天宁,0,0,0,0,0,0,
蓝色星空,钟楼,0,0,0,0,0,0,
金江苑,金坛,0,0,0,0,0,0,
银河湾,钟楼,0,0,0,0,0,0,
燕兴小区,新北,0,0,0,0,0,0,
顺园二村,新北,0,0,0,0,0,0,
丽景花园,天宁,0,0,0,0,0,1,
金都名苑,武进,0,0,0,0,0,0,
东城明居,天宁,0,0,0,0,0,0,
北环南村,天宁,0,0,0,0,0,0,
龙栖花园,新北,0,0,0,0,0,0,
紫阳花园,钟楼,0,0,0,0,0,0,
潞城花苑小区,戚墅堰,0,0,0,0,0,0,
人民家园,天宁,0,0,0,0,0,0,
青枫壹号,钟楼,0,0,0,0,0,0,
长虹名苑,武进,0,0,0,0,0,0,
丰乐尚都,武进,0,0,0,0,0,0,
昆仑花园,溧阳,0,0,0,0,0,0,
金田雅居,新北,0,0,0,0,0,0,
茂业豪园,武进,0,0,0,0,0,0,
万福花园,钟楼,0,0,0,0,0,0,
翡翠湾,钟楼,0,0,0,0,0,0,
大诚苑,新北,0,0,0,0,0,0,
江南春晓花园,新北,0,0,0,0,0,0,
晓柳花苑,武进,0,0,0,0,0,0,
公园大厦,天宁,1,0,0,0,0,0,
同济花园,天宁,0,0,0,0,0,0,
虹景花园小区,天宁,0,0,0,0,0,0,
景泰家园,溧阳,0,0,0,0,0,0,
景鸿花园,溧阳,0,0,0,0,0,0,
聚和家园,天宁,0,0,0,0,0,1,
方正大厦,钟楼,0,0,0,0,0,0,
东坡雅居,天宁,0,0,0,0,0,0,
大学-新村,武进,0,0,0,0,0,0,
芦墅广景苑,钟楼,0,0,0,0,0,0,
同德苑,武进,0,0,0,0,0,0,
奥林匹克花园别墅,新北,0,0,0,0,0,0,
花园西村,钟楼,0,0,0,0,0,0,
锦江丽都花园,钟楼,0,0,0,0,0,0,
景福苑,天宁,0,0,0,0,0,0,
圩墩新村,戚墅堰,0,0,0,0,0,0,
丽华三村新区,天宁,0,0,0,0,0,0,
景潭花园,金坛,0,0,0,0,0,0,
安家苑,新北,0,0,0,0,0,0,
天豪大厦,武进,0,0,0,0,0,0,
花东二村,武进,0,0,0,0,0,0,
桃园公寓,天宁,0,1,0,0,0,0,
东南花园,新北,0,0,0,0,0,0,
怡景名园,新北,0,0,0,0,0,0,
百馨苑,新北,0,0,0,0,0,0,
花园南村,钟楼,0,0,0,0,0,0,
华山苑,新北,0,0,0,0,0,0,
鹤苑新都,天宁,0,0,1,0,0,0,
华城二村,金坛,0,0,0,0,0,0,
中吴雅苑,天宁,0,0,0,0,0,0,
水清木华,天宁,0,0,0,0,0,0,
桃园新村,天宁,0,1,0,0,0,0,
朝阳花园,天宁,0,0,0,0,0,0,
九洲豪廷苑,武进,0,0,0,0,0,0,
新城花苑,武进,0,0,0,0,0,0,
新荷花园,新北,0,0,0,0,0,0,
圩塘五村,新北,0,0,0,0,0,0,
玉隆花园,钟楼,1,0,0,0,0,0,
花溪兰庭,戚墅堰,0,0,0,0,0,0,
华林家园,钟楼,0,0,0,0,0,0,
旺角花园,新北,0,0,0,0,0,0,
都市雅居,新北,0,0,0,0,0,0,
清潭五村,钟楼,0,0,0,0,0,0,
花东三村,武进,0,0,0,0,0,0,
文亨花园,钟楼,0,0,0,0,0,0,
泰山二村,新北,0,0,0,0,0,0,
美林国际村,新北,0,0,0,0,0,0,
侨光苑,新北,0,0,0,0,0,0,
景阳花园,金坛,0,0,0,0,0,0,
虹景金桂园,天宁,0,0,0,0,0,0,
美景天城,溧阳,0,0,0,0,0,0,
紫霞花苑,武进,0,0,0,0,0,0,
凤凰城,金坛,0,0,0,0,0,0,
西新桥二村,钟楼,0,0,0,0,0,0,
十里社区,武进,0,0,0,0,0,0,
燕阳花园,新北,0,0,0,0,0,0,
新康花苑,钟楼,0,0,0,0,0,0,
同仁苑,新北,0,0,0,0,0,0,
浦南南村,天宁,0,0,0,0,0,0,
南田雅园,武进,0,0,0,0,0,0,
红梅假日花苑,天宁,0,0,0,0,0,0,
清潭花苑,钟楼,0,0,0,0,0,0,
新立名园,新北,0,0,0,0,0,0,
珠江花园,新北,0,0,0,0,0,0,
东方花园,天宁,0,0,0,0,0,0,
紫荆苑,钟楼,0,0,0,0,0,0,
迎宾秀园,天宁,0,0,0,0,0,0,
太阳花园,新北,0,0,0,0,0,0,
中凉花园,天宁,0,0,0,0,0,0,
泰和之春,天宁,0,0,0,0,0,0,
广成小区,钟楼,0,0,0,0,0,0,
晋陵北苑,天宁,0,0,0,0,0,1,
美地蓝庭,金坛,0,0,0,0,0,0,
汇丰一村,新北,0,0,0,0,0,0,
朝阳四村,天宁,0,0,0,0,0,0,
天安河滨花园,天宁,0,0,0,0,0,0,
星盛家园,钟楼,0,0,0,0,0,0,
永盛家园,溧阳,0,0,0,0,0,0,
时代广场,新北,0,0,0,0,0,0,
新民家园,新北,0,0,0,0,0,0,
东方公寓,武进,0,0,0,0,0,0,
聚湖家园二期,武进,0,0,0,0,0,0,
体育花苑,钟楼,0,0,0,0,0,0,
翠园世家,天宁,0,0,0,0,0,0,
春江中央花苑,新北,0,0,0,0,0,0,
锦绣南园,天宁,0,0,0,0,0,0,
名仕家园,天宁,0,0,0,0,0,0,
翰林雅居花苑,武进,0,0,0,0,0,0,
愚池新村,金坛,0,0,0,0,0,0,
清凉东村,天宁,0,0,0,0,0,0,
河苑新村,天宁,0,0,0,0,0,0,
西林家园,钟楼,0,0,0,0,0,0,
华都馨苑,武进,0,0,0,0,0,0,
广景山庄,钟楼,0,0,0,0,0,0,
河海新村,新北,0,0,0,0,0,0,
勤业五村,钟楼,0,0,0,0,0,0,
富民小区,新北,0,0,0,0,0,0,
兰翔二村,新北,0,0,0,0,0,0,
太湖花园,新北,0,0,0,0,0,0,
新城湖畔春秋小区,武进,0,0,0,0,0,0,
青年公社,新北,0,0,0,0,0,0,
福康宁花园,戚墅堰,0,0,0,0,0,0,
竹林新村,天宁,0,0,0,0,0,0,
青龙新市民公寓,天宁,0,0,0,0,0,0,
河阳花苑,钟楼,0,0,0,0,0,0,
红梅公寓,天宁,0,0,0,0,0,0,
绿色家园,新北,0,0,0,0,0,0,
天目星城小区,溧阳,0,0,0,0,0,0,
金色湖滨,武进,0,0,0,0,0,0,
嘉盛苑,天宁,0,0,0,0,0,0,
星海银园,新北,0,0,0,0,0,0,
丽宝第花苑,天宁,0,0,0,0,0,0,
华府家园,钟楼,0,0,0,0,0,0,
港龙华庭,钟楼,0,0,0,0,0,0,
花东新村,武进,0,0,0,0,0,0,
芳草园,武进,0,0,0,0,0,0,
花园华丰苑,钟楼,0,0,0,0,0,0,
玉兰苑,钟楼,0,0,0,0,0,0,
项家花苑,天宁,0,0,1,0,0,0,
清溪花园,溧阳,0,0,0,0,0,0,
金梅花园-南区,钟楼,0,0,0,0,0,0,
西上园小区,钟楼,0,0,0,0,0,0,
燕山南苑,溧阳,0,0,0,0,0,0,
会馆浜公寓,钟楼,0,0,0,0,0,0,
都市桃源五期,钟楼,0,0,0,0,0,0,
盘龙苑-东区,新北,0,0,0,0,0,0,
阳光山城,武进,0,0,0,0,0,0,
金禧园,钟楼,0,0,0,0,0,0,
伟业臻品花园,武进,0,0,0,0,0,0,
元丰苑,天宁,0,1,0,0,0,0,
金谷华城,金坛,0,0,0,0,0,0,
文化二村,金坛,0,0,0,0,0,0,
怡和花园,钟楼,0,0,0,0,0,0,
勤业六村,钟楼,0,0,0,0,0,0,
青年公寓二期,新北,0,0,0,0,0,0,
康云明居,天宁,0,0,0,0,0,0,
北水西花园,溧阳,0,0,0,0,0,0,
龙泉山庄,溧阳,0,0,0,0,0,0,
丰臣南郡,天宁,0,0,0,0,0,0,
聚景苑,天宁,0,0,0,0,0,0,
五星家园,金坛,0,0,0,0,0,0,
北新巷小区,钟楼,0,0,0,0,0,0,
北建新村小区,武进,0,0,0,0,0,0,
龙船浜新村,钟楼,0,0,0,0,0,0,
湖塘花园新村,武进,0,0,0,0,0,0,
泰山三村,新北,0,0,0,0,0,0,
站北新村,戚墅堰,0,0,0,0,0,0,
公路花园,金坛,0,0,0,0,0,0,
通济新村,天宁,0,0,0,0,0,1,
金域东郡花园,武进,0,0,0,0,0,0,
安阳花苑,钟楼,0,0,0,0,0,0,
邱墅家园,武进,0,0,0,0,0,0,
嘉新花苑,新北,0,0,0,0,0,0,
红星新村,钟楼,0,0,0,0,0,0,
颐和家园,钟楼,0,0,0,0,0,0,
濑江花园-一区,溧阳,0,0,0,0,0,0,
迎春花园,天宁,0,0,1,0,0,0,
燕山东苑,溧阳,0,0,0,0,0,0,
天顺御和苑,天宁,0,1,0,0,0,0,
丽丰苑,钟楼,0,0,0,0,0,0,
徐塘新村,金坛,0,0,0,0,0,0,
邮电公寓,钟楼,0,0,0,0,0,0,
新园花苑,新北,0,0,0,0,0,0,
东方国际公寓,天宁,1,0,0,0,0,0,
学府名门花苑,武进,0,0,0,0,0,0,
天禄西阆苑,新北,0,0,0,0,0,0,
世纪花园,天宁,0,0,0,0,0,1,
格林花园,溧阳,0,0,0,0,0,0,
望湖名门小区,武进,0,0,0,0,0,0,
今创茗园,武进,0,0,0,0,0,0,
北环南苑,天宁,0,0,0,0,0,0,
奥韵家园,天宁,0,0,0,0,0,0,
东庄新村,武进,0,0,0,0,0,0,
前桥新村,新北,0,0,0,0,0,0,
天丽雅居,武进,0,0,0,0,0,0,
香槟置业广场,新北,0,0,0,0,0,0,
芦墅苑,钟楼,0,0,0,0,0,0,
锦绣花园,天宁,0,0,0,0,0,0,
嘉盛花园,武进,0,0,0,0,0,0,
娑罗家园,天宁,0,0,1,0,0,0,
清潭南苑,钟楼,0,0,0,0,0,0,
河滨小区,金坛,0,0,0,0,0,0,
蓝天花园-二期,钟楼,0,0,0,0,0,0,
怀南苑,钟楼,0,0,0,0,0,0,
迎宾花园,武进,0,0,0,0,0,0,
金水苑,溧阳,0,0,0,0,0,0,
同心苑,新北,0,0,0,0,0,0,
朝阳一村,天宁,0,0,0,0,0,0,
福阳山庄,溧阳,0,0,0,0,0,0,
藏龙苑,新北,0,0,0,0,0,0,
新中上村小区,钟楼,0,0,0,0,0,0,
清凉茗园,天宁,0,0,0,0,0,0,
铭巷家园,钟楼,1,0,0,0,0,0,
香江康桥,武进,0,0,0,0,0,0,
清潭鑫苑,钟楼,0,0,0,0,0,0,
东岱家园,钟楼,0,0,0,0,0,0,
鑫福苑,天宁,0,0,0,0,0,0,
新业花苑,新北,0,0,0,0,0,0,
